date,close,symbol
2017-01-25,63.68,MSFT
2017-01-26,64.27,MSFT
2017-01-27,65.78,MSFT
2017-01-30,65.13,MSFT
2017-01-31,64.65,MSFT
2017-02-01,63.58,MSFT
2017-02-02,63.17,MSFT
2017-02-03,63.68,MSFT
2017-02-06,63.64,MSFT
2017-02-07,63.43,MSFT
2017-02-08,63.34,MSFT
2017-02-09,64.06,MSFT
2017-02-10,64.0,MSFT
2017-02-13,64.72,MSFT
2017-02-14,64.57,MSFT
2017-02-15,64.53,MSFT
2017-02-16,64.52,MSFT
2017-02-17,64.62,MSFT
2017-02-21,64.49,MSFT
2017-02-22,64.36,MSFT
2017-02-23,64.62,MSFT
2017-02-24,64.62,MSFT
2017-02-27,64.23,MSFT
2017-02-28,63.98,MSFT
2017-03-01,64.94,MSFT
2017-03-02,64.01,MSFT
2017-03-03,64.25,MSFT
2017-03-06,64.27,MSFT
2017-03-07,64.4,MSFT
2017-03-08,64.99,MSFT
2017-03-09,64.73,MSFT
2017-03-10,64.93,MSFT
2017-03-13,64.71,MSFT
2017-03-14,64.41,MSFT
2017-03-15,64.75,MSFT
2017-03-16,64.64,MSFT
2017-03-17,64.87,MSFT
2017-03-20,64.93,MSFT
2017-03-21,64.21,MSFT
2017-03-22,65.03,MSFT
2017-03-23,64.87,MSFT
2017-03-24,64.98,MSFT
2017-03-27,65.1,MSFT
2017-03-28,65.29,MSFT
2017-03-29,65.47,MSFT
2017-03-30,65.71,MSFT
2017-03-31,65.86,MSFT
2017-04-03,65.55,MSFT
2017-04-04,65.73,MSFT
2017-04-05,65.56,MSFT
2017-04-06,65.73,MSFT
2017-04-07,65.68,MSFT
2017-04-10,65.53,MSFT
2017-04-11,65.48,MSFT
2017-04-12,65.23,MSFT
2017-04-13,64.95,MSFT
2017-04-17,65.48,MSFT
2017-04-18,65.39,MSFT
2017-04-19,65.04,MSFT
2017-04-20,65.5,MSFT
2017-04-21,66.4,MSFT
2017-04-24,67.53,MSFT
2017-04-25,67.92,MSFT
2017-04-26,67.83,MSFT
2017-04-27,68.27,MSFT
2017-04-28,68.46,MSFT
2017-05-01,69.41,MSFT
2017-05-02,69.3,MSFT
2017-05-03,69.08,MSFT
2017-05-04,68.81,MSFT
2017-05-05,69.0,MSFT
2017-05-08,68.94,MSFT
2017-05-09,69.04,MSFT
2017-05-10,69.31,MSFT
2017-05-11,68.46,MSFT
2017-05-12,68.38,MSFT
2017-05-15,68.43,MSFT
2017-05-16,69.41,MSFT
2017-05-17,67.48,MSFT
